id,timestamp,prob,type,event_idx,event_index,prob_gamma
RM33,2016-10-30 01:01:08.990,0.8240644,s,,,
FDMO,2016-10-30 01:01:41.580,0.5173731,p,,,
FDMO,2016-10-30 01:02:10.240,0.5896192,p,,,
FDMO,2016-10-30 01:02:11.630,0.6081672,s,,,
FDMO,2016-10-30 01:03:00.080,0.8795026,p,,,
RM33,2016-10-30 01:03:08.460,0.7062541,p,,,
RM33,2016-10-30 01:03:14.250,0.56502104,s,,,
FDMO,2016-10-30 01:03:37.890,0.9788983,p,,,
FDMO,2016-10-30 01:03:39.940,0.94065607,s,,,
RM33,2016-10-30 01:03:44.340,0.7639953,p,,,
RM33,2016-10-30 01:03:51.170,0.58257914,s,,,
FDMO,2016-10-30 01:04:29.560,0.91595685,p,,,
FDMO,2016-10-30 01:04:33.320,0.7116117,s,,,
RM33,2016-10-30 01:04:34.870,0.967099,p,,,
RM33,2016-10-30 01:04:41.230,0.57962024,s,,,
FDMO,2016-10-30 01:05:54.100,0.6161532,p,,,
RM33,2016-10-30 01:06:08.420,0.9235087,p,,,
FDMO,2016-10-30 01:07:48.820,0.95351607,p,,,
FDMO,2016-10-30 01:07:51.670,0.64729095,s,,,
RM33,2016-10-30 01:07:52.380,0.93989354,p,,,
RM33,2016-10-30 01:09:17.730,0.560969,p,,,
RM33,2016-10-30 01:09:22.860,0.71581787,s,,,
FDMO,2016-10-30 01:10:17.160,0.8775114,p,,,
FDMO,2016-10-30 01:10:18.940,0.9273372,s,,,
FDMO,2016-10-30 01:10:45.570,0.9389615,p,,,
FDMO,2016-10-30 01:10:47.520,0.81306684,s,,,
RM33,2016-10-30 01:10:52.100,0.93667275,p,,,
RM33,2016-10-30 01:12:42.890,0.9655037,p,,,
RM33,2016-10-30 01:12:46.030,0.9341095,s,,,
RM33,2016-10-30 01:14:12.890,0.9334692,p,,,
RM33,2016-10-30 01:14:15.970,0.9276104,s,,,
RM33,2016-10-30 01:16:08.690,0.6097314,p,,,
RM33,2016-10-30 01:17:53.260,0.8488587,p,,,
RM33,2016-10-30 01:17:57.020,0.86736494,s,,,
FDMO,2016-10-30 01:19:00.020,0.9378781,p,,,
FDMO,2016-10-30 01:19:00.850,0.7152139,s,,,
FDMO,2016-10-30 01:19:47.660,0.54809195,p,,,
FDMO,2016-10-30 01:20:00.440,0.5758798,p,,,
FDMO,2016-10-30 01:22:16.090,0.84767544,p,,,
FDMO,2016-10-30 01:23:24.750,0.7782915,p,,,
RM33,2016-10-30 01:25:48.720,0.5128796,p,,,
RM33,2016-10-30 01:25:54.970,0.60229707,s,,,
FDMO,2016-10-30 01:26:38.830,0.71563375,p,,,
FDMO,2016-10-30 01:26:41.140,0.6368983,s,,,
FDMO,2016-10-30 01:28:55.770,0.8284644,p,,,
FDMO,2016-10-30 01:29:44.080,0.89620477,p,,,
FDMO,2016-10-30 01:29:45.330,0.6559249,s,,,
FDMO,2016-10-30 01:30:47.310,0.89380217,p,,,
RM33,2016-10-30 01:30:50.340,0.86640716,p,,,
RM33,2016-10-30 01:30:56.270,0.5274737,s,,,
RM33,2016-10-30 01:31:22.620,0.9407376,p,,,
FDMO,2016-10-30 01:31:24.230,0.8692573,p,,,
RM33,2016-10-30 01:31:26.570,0.8808303,s,,,
FDMO,2016-10-30 01:31:29.380,0.56919605,s,,,
RM33,2016-10-30 01:32:49.910,0.9590094,p,,,
RM33,2016-10-30 01:32:53.270,0.83113694,s,,,
FDMO,2016-10-30 01:33:16.020,0.58864915,p,,,
FDMO,2016-10-30 01:34:20.980,0.56953853,p,,,
FDMO,2016-10-30 01:34:58.640,0.95493585,p,,,
RM33,2016-10-30 01:35:51.440,0.8238672,p,,,
RM33,2016-10-30 01:35:56.920,0.5456864,s,,,
FDMO,2016-10-30 01:37:47.040,0.63819104,p,,,
