id,timestamp,prob,type
IV.FDMO.,2016-10-30 01:01:41.580,0.5173731,p
IV.FDMO.,2016-10-30 01:02:10.240,0.5896192,p
IV.FDMO.,2016-10-30 01:02:11.630,0.6081672,s
IV.FDMO.,2016-10-30 01:03:00.080,0.8795026,p
IV.RM33.,2016-10-30 01:03:08.460,0.7062541,p
IV.RM33.,2016-10-30 01:03:14.250,0.56502104,s
IV.FDMO.,2016-10-30 01:03:37.890,0.9788983,p
IV.FDMO.,2016-10-30 01:03:39.940,0.94065607,s
IV.RM33.,2016-10-30 01:03:44.340,0.7639953,p
IV.RM33.,2016-10-30 01:03:51.170,0.58257914,s
IV.FDMO.,2016-10-30 01:04:29.560,0.91595685,p
IV.FDMO.,2016-10-30 01:04:33.320,0.7116117,s
IV.RM33.,2016-10-30 01:04:34.870,0.967099,p
IV.RM33.,2016-10-30 01:04:41.230,0.57962024,s
IV.FDMO.,2016-10-30 01:05:54.100,0.6161532,p
IV.RM33.,2016-10-30 01:06:08.420,0.9235087,p
IV.FDMO.,2016-10-30 01:07:48.820,0.95351607,p
IV.FDMO.,2016-10-30 01:07:51.670,0.64729095,s
IV.RM33.,2016-10-30 01:07:52.380,0.93989354,p
IV.RM33.,2016-10-30 01:09:17.730,0.560969,p
IV.RM33.,2016-10-30 01:09:22.860,0.71581787,s
IV.FDMO.,2016-10-30 01:10:17.160,0.8775114,p
IV.FDMO.,2016-10-30 01:10:18.940,0.9273372,s
IV.FDMO.,2016-10-30 01:10:45.570,0.9389615,p
IV.FDMO.,2016-10-30 01:10:47.520,0.81306684,s
IV.RM33.,2016-10-30 01:10:52.100,0.93667275,p
IV.RM33.,2016-10-30 01:12:42.890,0.9655037,p
IV.RM33.,2016-10-30 01:12:46.030,0.9341095,s
IV.RM33.,2016-10-30 01:14:12.890,0.9334692,p
IV.RM33.,2016-10-30 01:14:15.970,0.9276104,s
IV.RM33.,2016-10-30 01:16:08.690,0.6097314,p
IV.RM33.,2016-10-30 01:17:53.260,0.8488587,p
IV.RM33.,2016-10-30 01:17:57.020,0.86736494,s
IV.FDMO.,2016-10-30 01:19:00.020,0.9378781,p
IV.FDMO.,2016-10-30 01:19:00.850,0.7152139,s
